Pacote,Concrete Type,Call Method Name,Field Name,Metodo,Line Code,Class,Ocorrencias,Into Loop,Loops Info,Inside Recursive Method
java/util/List,Ljava/util/ArrayList,write,keys,add(value),220,Lcom/google/gson/internal/bind/MapTypeAdapterFactory$Adapter>,1,true,1) 2;O1;0; ,false
java/util/List,Ljava/util/ArrayList,write,values,add(value),221,Lcom/google/gson/internal/bind/MapTypeAdapterFactory$Adapter>,1,true,1) 2;O1;0; ,false
java/util/List,Ljava/util/ArrayList,write,keys,sequentialGet,229,Lcom/google/gson/internal/bind/MapTypeAdapterFactory$Adapter>,1,true,1) 2;ON;null; ,false
java/util/List,Ljava/util/ArrayList,write,values,sequentialGet,230,Lcom/google/gson/internal/bind/MapTypeAdapterFactory$Adapter>,1,true,1) 2;ON;null; ,false
java/util/List,Ljava/util/ArrayList,write,keys,sequentialGet,237,Lcom/google/gson/internal/bind/MapTypeAdapterFactory$Adapter>,1,true,1) 2;ON;null; ,false
java/util/List,Ljava/util/ArrayList,write,values,sequentialGet,239,Lcom/google/gson/internal/bind/MapTypeAdapterFactory$Adapter>,1,true,1) 2;ON;null; ,false
java/util/List,Ljava/util/List,withExclusionStrategy,serializationStrategies,add(value),101,Lcom/google/gson/internal/Excluder>,1,true,1) 1;ON;null; ,false
java/util/List,Ljava/util/List,withExclusionStrategy,deserializationStrategies,add(value),106,Lcom/google/gson/internal/Excluder>,1,true,1) 1;ON;null; ,false
java/util/List,Ljava/util/List,withExclusionStrategy,serializationStrategies,add(value),101,Lcom/google/gson/internal/Excluder>,3,false,,false
java/util/List,Ljava/util/List,withExclusionStrategy,deserializationStrategies,add(value),106,Lcom/google/gson/internal/Excluder>,3,false,,false
java/util/Map,Ljava/util/Map,registerTypeAdapter,instanceCreators,put(key;value),502,Lcom/google/gson/GsonBuilder>,1,false,,false
java/util/List,Ljava/util/List,registerTypeAdapter,factories,add(value),506,Lcom/google/gson/GsonBuilder>,1,false,,false
java/util/List,Ljava/util/List,registerTypeAdapter,factories,add(value),509,Lcom/google/gson/GsonBuilder>,1,false,,false
java/util/List,Ljava/util/List,registerTypeAdapterFactory,factories,add(value),523,Lcom/google/gson/GsonBuilder>,1,false,,false
java/util/List,Ljava/util/List,registerTypeHierarchyAdapter,hierarchyFactories,add(value),547,Lcom/google/gson/GsonBuilder>,1,false,,false
java/util/List,Ljava/util/List,registerTypeHierarchyAdapter,factories,add(value),550,Lcom/google/gson/GsonBuilder>,1,false,,false
java/util/List,Ljava/util/List,create,factories,size,587,Lcom/google/gson/GsonBuilder>,1,false,,false
java/util/List,Ljava/util/List,create,hierarchyFactories,size,587,Lcom/google/gson/GsonBuilder>,1,false,,false
java/util/List,Ljava/util/List,deepCopy,elements,isEmpty,53,Lcom/google/gson/JsonArray>,2,false,,false
java/util/List,Ljava/util/List,deepCopy,elements,size,54,Lcom/google/gson/JsonArray>,2,false,,false
java/util/List,Ljava/util/List,deepCopy,elements,iterator,55,Lcom/google/gson/JsonArray>,2,false,,false
java/util/List,Ljava/util/List,add,elements,add(value),69,Lcom/google/gson/JsonArray>,1,false,,false
java/util/List,Ljava/util/List,add,elements,add(value),78,Lcom/google/gson/JsonArray>,1,false,,false
java/util/List,Ljava/util/List,add,elements,add(value),87,Lcom/google/gson/JsonArray>,1,false,,false
java/util/List,Ljava/util/List,add,elements,add(value),96,Lcom/google/gson/JsonArray>,1,false,,false
java/util/List,Ljava/util/List,addAll,elements,addAll,117,Lcom/google/gson/JsonArray>,1,false,,false
java/util/List,Ljava/util/List,set,elements,set,129,Lcom/google/gson/JsonArray>,1,false,,false
java/util/List,Ljava/util/List,remove,elements,remove(value),140,Lcom/google/gson/JsonArray>,1,false,,false
java/util/List,Ljava/util/List,remove,elements,remove(middle-index),153,Lcom/google/gson/JsonArray>,1,false,,false
java/util/List,Ljava/util/List,contains,elements,contains,163,Lcom/google/gson/JsonArray>,1,false,,false
java/util/List,Ljava/util/List,size,elements,size,172,Lcom/google/gson/JsonArray>,1,false,,false
java/util/List,Ljava/util/List,get,elements,randomGet,194,Lcom/google/gson/JsonArray>,1,false,,false
java/util/List,Ljava/util/List,getAsNumber,elements,size,207,Lcom/google/gson/JsonArray>,1,false,,false
java/util/List,Ljava/util/List,getAsNumber,elements,randomGet,208,Lcom/google/gson/JsonArray>,1,false,,false
