Field name,Is local?,Source code line,Containing class,A method that uses it,Ordered recommendations
factories,false,456,com.google.gson.Gson,getAdapter,Changes the type from java.util.List to fastList(EclipseCollections)<nodeCachingLinkedList(ApacheCommonsCollections)<synchronizedArrayList<treeList(ApacheCommonsCollections)<synchronizedFastList(EclipseCollections)<linkedList<synchronizedLinkedList<vector
typeTokenCache,false,433,com.google.gson.Gson,getAdapter,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<linkedHashMap<treeMap<hashedMap(ApacheCommonsCollections)<hashMap<synchronizedUnifiedMap(EclipseCollections)<concurrentHashMap<hashtable<concurrentHashMap(EclipseCollections)<synchronizedLinkedHashMap<concurrentSkipListMap<synchronizedHashMap<staticBucketMap(ApacheCommonsCollections)<synchronizedTreeMap
instanceCreators,false,502,com.google.gson.GsonBuilder,registerTypeAdapter,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<hashedMap(ApacheCommonsCollections)<hashMap<linkedHashMap<treeMap<staticBucketMap(ApacheCommonsCollections)<concurrentHashMap<concurrentHashMap(EclipseCollections)<hashtable<synchronizedHashMap<synchronizedUnifiedMap(EclipseCollections)<synchronizedLinkedHashMap<concurrentSkipListMap<synchronizedTreeMapfactories,false,506,com.google.gson.GsonBuilder,registerTypeAdapter,Changes the type from java.util.List to arrayList<fastList(EclipseCollections)<nodeCachingLinkedList(ApacheCommonsCollections)<linkedList<treeList(ApacheCommonsCollections)<vector<synchronizedArrayList<synchronizedFastList(EclipseCollections)<synchronizedLinkedList<copyOnWriteArrayList
stack,false,72,com.google.gson.internal.bind.JsonTreeWriter,peek,Changes the type from java.util.List to fastList(EclipseCollections)<arrayList<treeList(ApacheCommonsCollections)<copyOnWriteArrayList<vector<synchronizedArrayList<synchronizedFastList(EclipseCollections)<nodeCachingLinkedList(ApacheCommonsCollections)<linkedList<synchronizedLinkedListsynchronizedHashMap<concurrentHashMap<concurrentHashMap(EclipseCollections)<staticBucketMap(ApacheCommonsCollections)
constantToName,false,789,com.google.gson.internal.bind.TypeAdapters$EnumTypeAdapter,<init>,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<hashedMap(ApacheCommonsCollections)<hashMap<linkedHashMap<treeMap<concurrentHashMap<concurrentHashMap(EclipseCollections)<staticBucketMap(ApacheCommonsCollections)<hashtable<synchronizedUnifiedMap(EclipseCollections)<synchronizedHashMap<synchronizedLinkedHashMap<concurrentSkipListMap<synchronizedTreeMap
nameToConstant,false,785,com.google.gson.internal.bind.TypeAdapters$EnumTypeAdapter,<init>,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<hashedMap(ApacheCommonsCollections)<hashMap<linkedHashMap<treeMap<concurrentHashMap<staticBucketMap(ApacheCommonsCollections)<concurrentHashMap(EclipseCollections)<hashtable<synchronizedUnifiedMap(EclipseCollections)<synchronizedHashMap<synchronizedLinkedHashMap<concurrentSkipListMap<synchronizedTreeMap
